organ,voxels,volume_ml
liver,2777540,2032.68
small_bowel,767218,561.47
colon,747903,547.34
lung_lower_lobe_left,705192,516.08
lung_lower_lobe_right,670933,491.01
autochthon_left,557839,408.24
autochthon_right,524402,383.77
spleen,384606,281.46
stomach,330955,242.20
kidney_left,249507,182.60
kidney_right,248407,181.79
lung_middle_lobe_right,223821,163.80
costal_cartilages,153152,112.08
iliopsoas_right,151300,110.73
lung_upper_lobe_left,128726,94.21
iliopsoas_left,122523,89.67
pancreas,119664,87.57
inferior_vena_cava,104149,76.22
vertebrae_L3,79405,58.11
aorta,77037,56.38
vertebrae_L4,75588,55.32
vertebrae_L2,71007,51.96
duodenum,70686,51.73
vertebrae_L1,64059,46.88
vertebrae_L5,63206,46.26
spinal_cord,58284,42.65
vertebrae_T12,53331,39.03
hip_right,50759,37.15
vertebrae_T11,48546,35.53
hip_left,43041,31.50
vertebrae_T10,42140,30.84
vertebrae_T9,37407,27.38
portal_vein_and_splenic_vein,36528,26.73
gluteus_medius_right,28219,20.65
rib_left_9,27229,19.93
gallbladder,25428,18.61
rib_right_9,25100,18.37
rib_left_8,24702,18.08
rib_left_10,23898,17.49
esophagus,21170,15.49
rib_right_10,20393,14.92
gluteus_medius_left,18306,13.40
rib_left_7,17358,12.70
rib_right_8,16825,12.31
vertebrae_T8,16599,12.15
rib_right_7,13692,10.02
rib_left_6,13124,9.60
rib_right_11,12515,9.16
rib_left_11,11552,8.45
rib_right_6,9888,7.24
sternum,9278,6.79
rib_left_5,8640,6.32
iliac_vena_right,8314,6.08
gluteus_maximus_right,6496,4.75
iliac_artery_right,6257,4.58
iliac_vena_left,6091,4.46
iliac_artery_left,5783,4.23
rib_right_5,4988,3.65
adrenal_gland_right,4767,3.49
adrenal_gland_left,4473,3.27
sacrum,3839,2.81
rib_right_12,2688,1.97
gluteus_maximus_left,1609,1.18
rib_left_12,1281,0.94
vertebrae_S1,1218,0.89
vertebrae_T7,484,0.35
pulmonary_vein,386,0.28
